restaurantName,menuItem,servingSize,calories,carbohydrateContent,cholesterolContent,fatContent,fiberContent,proteinContent,saturatedFatContent,sodiumContent,sugarContent,transFatContent,unsaturatedFatContent
Subway,BREADS & INGREDIENTS Cheese Pepper Jack,14 g,50,0,15,4,0,3,3,140,0,0,
Subway,BREADS & INGREDIENTS Cheese Provolone,14 g,50,0,10,4,0,4,2,125,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins All-American Club Meats (Ham, Turkey, Bacon),72 g,140,2,45,8,0,15,3,650,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Bacon (2 strips),15 g,80,1,15,6,0,5,3,170,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Black Forest Ham,57 g,70,2,30,2,0,10,1,490,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Capicola (3 slices),22 g,35,1,15,2,0,4,1,240,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Cold Cut Combo® Meats,64 g,110,1,45,8,0,9,1,620,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Egg Patty,85 g,180,2,240,15,0,10,4,220,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Genoa Salami (3 slices),18 g,70,1,20,6,0,3,3,260,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken,71 g,80,1,50,2,0,16,2,210,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken, Buffalo,99 g,90,2,50,2,0,17,1,900,1,0,
Subway,BREADS & INGREDIENTS Individual Proteins Grilled Chicken, Sweet Onion Teriyaki Glazed,85 g,110,9,50,2,0,16,1,350,8,0,
Subway,BREADS & INGREDIENTS Individual Proteins Meatballs,139 g,250,13,35,18,2,12,7,720,5,0,
Subway,BREADS & INGREDIENTS Individual Proteins Oven Roasted Turkey,57 g,60,0,25,2,0,11,1,450,0,0,
Subway,BREADS & INGREDIENTS Individual Proteins Pastrami**,57 g,130,1,35,10,0,9,3,470,1,0,
